Метод дихотомии для первой функции
n;a; b; (b - a) / 2; c; d; F(c); F(d)
17;-4.88739;-4.88708;0.000152588;-4.88724;-4.88724;5.13956;5.13957
18;-4.88739;-4.88724;7.62939e-05;-4.88731;-4.88731;5.1395;5.1395
19;-4.88739;-4.88731;3.8147e-05;-4.88735;-4.88735;5.13954;5.13953
20;-4.88735;-4.88731;1.90735e-05;-4.88733;-4.88733;5.13948;5.13948
21;-4.88735;-4.88733;9.53674e-06;-4.88734;-4.88734;5.13951;5.1395
22;-4.88734;-4.88733;4.76837e-06;-4.88734;-4.88734;5.13949;5.13948
23;-4.88734;-4.88733;2.38419e-06;-4.88734;-4.88733;5.13948;5.13948
24;-4.88734;-4.88733;1.19209e-06;-4.88734;-4.88733;5.13948;5.13948
25;-4.88734;-4.88733;5.96046e-07;-4.88734;-4.88733;5.13948;5.13948

Метод золотого сечения для второй функции
n;a; b; (b - a) / 2; c; d; F(c); F(d)
1;-10;10;10;2.36068;-2.36068;63.4917;21.6332
2;-10;2.36068;6.18034;-2.36068;-5.27864;21.6332;6.517
3;-10;-2.36068;3.81966;-5.27864;-7.08204;6.517;20.2253
4;-7.08204;-2.36068;2.36068;-4.16408;-5.27864;7.52566;6.517
5;-7.08204;-4.16408;1.45898;-5.27864;-5.96748;6.517;10.6795
6;-5.96748;-4.16408;0.901699;-4.85292;-5.27864;5.17044;6.517
7;-5.27864;-4.16408;0.557281;-4.5898;-4.85292;5.40713;5.17044
8;-5.27864;-4.5898;0.344419;-4.85292;-5.01553;5.17044;5.59076
9;-5.01553;-4.5898;0.212862;-4.75242;-4.85292;5.26085;5.17044
10;-5.01553;-4.75242;0.131556;-4.85292;-4.91503;5.17044;5.23696
11;-4.91503;-4.75242;0.0813062;-4.81453;-4.85292;5.20497;5.17044
12;-4.91503;-4.81453;0.05025;-4.85292;-4.87664;5.17044;5.1491
13;-4.91503;-4.85292;0.0310562;-4.87664;-4.8913;5.1491;5.15345
14;-4.8913;-4.85292;0.0191938;-4.86758;-4.87664;5.15725;5.1491
15;-4.8913;-4.86758;0.0118624;-4.87664;-4.88224;5.1491;5.14406
16;-4.8913;-4.87664;0.00733137;-4.88224;-4.8857;5.14406;5.14095
17;-4.8913;-4.88224;0.00453104;-4.8857;-4.88784;5.14095;5.14126
